word,count
the,250502
of,144718
and,108155
to,100628
in,95225
a,74433
that,46474
is,37720
for,34860
as,33272
by,27637
on,25445
was,22293
or,21917
are,21168
with,21083
be,18983
it,17720
from,17273
not,16171
an,15563
have,14832
this,13290
which,13133
has,12777
at,11957
were,11878
their,11270
they,9265
also,8989
more,8660
such,8644
other,8591
been,8499
states,8465
but,7903
can,7722
its,7717
he,7574
who,7337
some,7084
had,7061
one,7026
would,6804
all,6787
than,6766
may,6618
united,6583
there,6386
his,6272
government,5756
many,5692
these,5676
nuclear,5669
state,5571
most,5412
people,5351
new,5080
only,5043
use,4973
first,4935
when,4859
no,4724
between,4608
into,4554
public,4496
education,4492
used,4463
against,4450
law,4428
if,4404
rights,4395
about,4375
will,4355
school,4271
after,4243
any,4210
said,4199
world,4132
over,4084
during,4046
s,4033
power,3995
countries,3942
however,3918
u,3766
international,3734
national,3698
under,3692
years,3672
because,3604
while,3599
two,3558
those,3515
time,3503
human,3499
being,3342
war,3338
them,3292
schools,3257
act,3230
both,3191
social,3127
right,3118
including,3103
out,3063
through,3028
system,2996
since,2962
energy,2958
where,2941
political,2920
could,2920
often,2912
children,2853
up,2842
should,2824
health,2812
according,2771
american,2768
weapons,2761
israel,2680
i,2672
do,2671
high,2646
court,2635
so,2628
found,2616
gaza,2609
number,2600
even,2557
military,2555
economic,2554
year,2522
students,2466
what,2465
example,2392
population,2372
well,2362
we,2353
made,2347
policy,2314
control,2305
development,2267
work,2262
called,2247
million,2229
before,2229
israeli,2214
support,2213
women,2192
nations,2189
games,2185
part,2181
university,2180
among,2179
general,2177
then,2165
report,2160
federal,2149
groups,2133
wind,2130
freedom,2128
within,2113
without,2107
country,2098
free,2084
information,2070
include,2061
same,2059
three,2037
us,2021
each,2010
sex,2004
research,1986
must,1981
study,1943
did,1941
game,1938
although,1932
security,1927
based,1927
less,1918
term,1915
another,1903
much,1897
group,1877
several,1873
large,1870
case,1860
laws,1853
president,1848
known,1846
life,1840
order,1828
members,1814
due,1808
does,1798
society,1794
early,1793
violence,1774
her,1751
own,1747
different,1735
make,1728
religious,1721
crime,1710
party,1705
later,1702
form,1692
very,1679
stated,1676
tobacco,1670
private,1663
aid,1650
foreign,1644
areas,1640
century,1636
others,1631
like,1631
using,1629
result,1628
following,1621
age,1619
way,1608
sexual,1603
increase,1603
legal,1594
considered,1584
higher,1558
per,1556
speech,1549
nbsp,1541
action,1537
union,1520
now,1511
end,1507
second,1505
program,1497
programs,1495
local,1490
level,1488
she,1482
still,1479
major,1463
article,1462
how,1455
see,1452
until,1437
studies,1436
media,1429
e,1416
around,1416
house,1414
primary,1413
become,1409
whether,1408
rate,1407
circumcision,1404
given,1401
common,1397
times,1392
tax,1385
increased,1380
place,1371
men,1368
video,1367
take,1356
certain,1354
provide,1337
became,1326
british,1324
south,1323
rates,1319
god,1316
likely,1312
family,1312
person,1311
process,1309
evidence,1309
cases,1308
further,1305
force,1305
usually,1302
individuals,1302
church,1300
individual,1299
majority,1296
minister,1293
european,1290
china,1290
hamas,1289
systems,1288
means,1286
risk,1285
day,1285
generally,1282
january,1270
effect,1270
rather,1269
bill,1269
though,1257
developed,1256
similar,1255
theory,1247
drug,1247
cultural,1247
v,1243
significant,1238
growth,1237
thus,1236
service,1234
billion,1229
percent,1222
natural,1222
medical,1220
committee,1203
community,1202
trade,1201
our,1200
held,1200
congress,1200
total,1198
reported,1197
former,1197
open,1196
north,1194
religion,1192
john,1189
published,1177
effects,1173
important,1171
june,1168
illegal,1167
vote,1163
least,1162
argued,1162
water,1161
abortion,1153
governments,1151
four,1151
issue,1150
various,1143
child,1136
election,1126
need,1125
production,1123
every,1123
cause,1123
association,1123
immigration,1122
either,1117
small,1116
voting,1115
just,1113
citizens,1113
amendment,1112
access,1104
civil,1102
test,1100
services,1097
council,1096
city,1096
constitution,1093
market,1091
forces,1089
convention,1088
you,1086
set,1085
canada,1083
culture,1082
history,1081
source,1078
particular,1076
long,1075
europe,1074
levels,1071
income,1070
protection,1067
period,1063
change,1062
led,1057
having,1055
sometimes,1054
paul,1054
especially,1053
modern,1048
ii,1044
parents,1038
movement,1037
property,1034
uk,1033
care,1031
money,1028
organizations,1027
available,1018
required,1016
lower,1013
few,1013
physical,1011
india,1011
cost,1011
began,1011
september,1007
issues,1004
down,996
terms,995
results,994
possible,994
global,992
five,988
criminal,988
gun,986
supreme,985
birth,985
current,982
policies,981
college,981
smoking,980
included,974
view,971
recent,970
area,970
upon,969
resources,966
drugs,965
itself,963
fact,963
status,962
good,960
death,960
prevent,959
office,958
land,958
internet,957
established,957
subject,956
costs,954
decision,951
december,950
reduce,949
democratic,948
themselves,947
palestinian,946
organization,946
him,941
white,939
america,937
attacks,936
role,935
low,935
great,934
food,933
making,931
book,928
last,926
violent,925
home,925
police,920
germany,919
workers,917
un,914
therefore,912
problems,912
poor,912
official,912
japan,909
poverty,904
discrimination,904
particularly,903
project,902
march,900
forms,898
republic,897
allowed,896
kingdom,895
conflict,894
practice,893
body,893
october,891
taken,886
believe,885
greater,884
york,882
activities,882
seen,881
created,881
specific,879
problem,877
g,877
advertising,875
point,874
defense,873
limited,872
member,871
might,869
argue,869
industry,863
response,859
effective,859
civilians,859
better,858
future,857
condoms,857
interest,855
allow,855
took,854
parties,853
able,853
late,852
companies,852
catholic,852
legislation,851
software,849
western,846
july,846
race,844
help,843
technology,842
justice,842
french,841
commission,840
associated,840
amount,839
benefits,838
sports,835
ethnic,835
potential,833
male,832
campaign,832
february,827
almost,827
proposed,823
largest,823
department,823
german,821
related,819
nature,818
head,815
estimated,815
authority,814
lead,813
species,812
developing,811
man,810
main,808
capacity,808
nation,807
little,806
opinion,804
france,804
lack,801
blockade,800
april,797
economy,796
average,796
africa,794
activity,794
special,792
americans,791
necessary,790
never,789
range,788
instead,785
electricity,785
press,784
holocaust,782
voters,781
released,781
statement,780
officials,780
november,780
soviet,778
addition,778
english,777
material,771
debate,771
behavior,771
methods,769
independent,769
demand,769
data,768
position,767
despite,767
days,767
increasing,763
crimes,763
center,763
air,761
strip,759
language,757
wrote,756
universities,756
provided,755
israels,755
constitutional,755
passed,754
rules,752
prime,752
popular,751
described,751
central,749
canadian,747
training,746
outside,745
involved,745
came,744
protect,743
financial,743
treaty,742
present,742
personal,742
back,742
japanese,741
business,741
already,741
strong,739
funding,738
factors,736
saying,735
impact,735
chinese,735
measures,732
left,732
australia,732
third,731
sources,731
institutions,731
direct,730
working,728
positive,728
class,728
august,725
argument,724
humanitarian,723
young,721
idea,718
get,718
reason,717
educational,717
democracy,716
argues,716
oil,715
science,714
expression,714
towards,712
players,712
too,711
secondary,711
far,710
ban,709
actions,709
claim,708
caused,706
persons,705
civilian,705
half,704
candidate,704
top,703
operation,703
republican,702
environmental,701
claims,701
thought,699
racial,697
continued,697
months,694
full,694
efforts,694
attack,693
killed,691
spending,688
pay,687
traditional,686
living,686
concept,686
middle,685
east,683
best,683
conference,682
athletes,682
agency,682
plan,680
weapon,679
influence,679
conditions,679
compared,678
give,676
section,674
opposed,673
existence,673
say,671
received,671
value,669
claimed,669
basis,669
african,668
employment,667
single,666
testing,665
labor,665
immigrants,665
reports,664
acts,664
today,663
throughout,662
off,660
along,660
fuel,659
put,658
black,658
mass,657
ability,657
leading,654
once,652
bomb,652
question,651
past,651
method,651
produced,650
candidates,650
unemployment,649
obama,648
introduced,648
plants,647
charter,647
six,646
censorship,646
loss,644
includes,643
approach,641
female,640
clear,639
bcs,639
student,638
directly,637
require,636
jews,636
equal,636
changes,636
supported,633
iran,632
currently,632
continue,631
types,630
renewable,630
administration,630
c,629
issued,628
monarchy,627
come,627
restrictions,626
find,626
create,626
products,625
additional,625
learning,623
jewish,623
show,622
peace,622
done,621
across,621
code,620
regarding,618
families,618
team,616
peoples,615
play,614
typically,613
agreement,613
cities,610
widely,608
pregnancy,608
believed,606
plant,605
korea,605
conducted,605
approximately,605
gambling,604
environment,604
elections,603
basic,603
rule,602
name,602
go,602
defined,602
online,601
de,601
knowledge,600
enough,599
type,598
leaders,598
critics,598
senate,596
refugees,596
referred,595
board,595
ones,594
army,594
condom,593
company,593
model,592
west,591
produce,591
budget,589
washington,588
exist,587
whose,586
jobs,586
england,586
needs,585
sense,582
series,581
labour,581
california,580
above,579
opposition,578
announced,578
serious,577
armed,577
votes,576
forest,576
reduced,575
district,575
minority,574
adopted,574
relationship,573
provides,573
nearly,572
standards,571
projects,571
elected,570
causes,570
criticized,569
receive,568
always,568
purpose,566
lost,566
difficult,566
designed,566
building,566
mexico,564
real,563
parliament,560
design,560
title,559
gas,559
situation,558
reasons,558
highly,558
shall,557
intended,557
scientific,556
pope,556
affairs,554
king,553
moral,552
makes,552
steroids,551
academic,551
increases,550
enforcement,550
longer,549
communities,549
taking,548
run,546
numbers,546
gender,545
again,545
sport,544
noted,543
institute,543
belief,543
matter,540
marriage,540
criticism,540
simply,539
capital,539
review,538
old,538
news,538
treatment,537
declaration,537
added,537
providing,536
generation,536
suggested,535
reform,535
negative,535
concluded,534
farm,533
urban,532
examples,532
concern,532
powers,531
needed,531
disease,531
authorities,531
asylum,531
attempt,530
assembly,530
professional,529
active,529
next,528
expressed,528
standard,526
courts,526
threat,525
shown,525
tests,523
list,522
experience,522
degree,522
christian,522
teachers,521
professor,519
firearms,519
soldiers,518
final,518
damage,518
pressure,517
develop,517
key,516
signed,515
construction,515
blood,515
actually,515
skills,514
failed,514
prior,512
hiv,512
promote,511
goods,511
d,511
events,510
content,509
yet,508
practices,508
revolution,507
ways,506
says,506
quality,506
hand,506
why,505
together,505
al,504
declared,503
choice,502
worlds,501
region,501
reduction,501
close,501
television,500
principles,500
near,500
live,500
views,499
supply,499
brought,499
agreed,499
values,498
concerns,498
safety,497
overall,497
relatively,496
alternative,496
southern,495
primarily,495
sweden,494
highest,492
things,490
relations,490
arms,490
corruption,489
interests,487
followed,487
field,487
reducing,486
expected,485
voted,484
previous,484
ensure,484
banned,484
account,484
largely,483
definition,483
opportunity,482
assistance,482
domestic,481
remains,480
george,480
abuse,480
specifically,479
responsible,479
exercise,479
executive,478
hold,477
remain,476
original,476
guns,475
david,475
commonly,475
requires,474
pakistan,474
larger,474
planning,473
beginning,473
mccain,472
improve,472
focus,471
allowing,471
works,470
uses,470
uranium,470
below,470
poll,469
funds,469
release,468
strategy,467
protected,467
management,466
forced,466
significantly,465
ideas,465
intelligence,464
asked,464
whole,463
want,463
documents,463
away,462
analysis,462
prevention,461
league,461
debt,461
started,460
mw,460
fight,460
ever,460
think,459
fire,459
went,458
faith,458
crisis,458
taxes,457
welfare,456
secret,456
paid,456
site,455
