word,count
the,117833
of,56873
in,44694
to,36454
a,33743
and,31413
is,22140
that,21767
for,13996
was,12757
as,12506
are,11523
on,11448
by,11216
this,9428
it,8520
with,8070
has,7906
have,7641
be,7254
an,7046
from,6741
also,6436
not,6256
were,5836
or,5337
at,4729
he,4527
been,4418
some,4341
there,4223
can,4037
these,3840
which,3831
states,3762
may,3709
such,3692
they,3644
one,3562
many,3460
more,3418
however,3402
other,3213
most,3152
united,3033
had,3030
their,2851
who,2814
its,2806
all,2789
his,2669
but,2649
first,2590
would,2556
said,2476
government,2418
when,2402
used,2385
only,2298
new,2258
after,2165
if,2127
state,2099
education,2085
no,2068
people,2056
according,2054
between,2053
use,1996
nuclear,1947
during,1927
two,1859
s,1841
about,1841
u,1833
than,1830
school,1786
will,1728
law,1714
example,1712
countries,1697
often,1675
public,1637
power,1623
into,1591
while,1579
schools,1579
over,1541
since,1538
international,1537
include,1530
world,1529
under,1497
because,1492
national,1475
both,1471
rights,1469
against,1457
found,1421
american,1377
act,1366
energy,1344
study,1343
court,1335
report,1311
number,1301
time,1294
i,1279
human,1274
any,1272
system,1241
those,1216
years,1196
called,1187
out,1180
wind,1164
term,1164
political,1156
social,1152
we,1150
stated,1140
although,1139
high,1120
several,1117
students,1116
israel,1114
war,1112
made,1111
should,1102
up,1081
research,1076
right,1064
through,1061
could,1055
children,1050
three,1041
israeli,1029
where,1027
president,1023
another,1011
general,1010
policy,1003
do,1003
health,1002
what,999
including,979
being,970
economic,967
among,966
even,963
early,962
games,957
following,955
university,954
studies,954
then,951
nations,937
known,932
groups,929
control,916
foreign,890
federal,887
women,886
does,885
based,881
us,879
development,877
tobacco,874
large,870
work,868
case,863
must,861
military,861
part,860
later,860
she,858
population,854
free,852
sex,847
article,842
year,840
did,838
before,837
minister,831
each,830
so,828
reported,825
generally,819
argued,818
january,806
support,805
freedom,805
laws,801
same,800
weapons,792
common,791
considered,789
members,787
much,786
june,782
theory,769
primary,767
second,761
century,757
aid,757
usually,755
form,754
within,753
paul,752
group,750
like,749
major,747
became,735
result,733
information,731
very,728
million,726
john,725
private,724
different,718
british,717
due,702
country,702
game,698
now,693
published,692
using,689
further,684
v,681
security,677
house,674
developed,673
party,671
bill,669
legal,667
programs,661
less,660
circumcision,659
cases,644
addition,641
see,639
still,636
similar,634
december,633
her,631
speech,630
program,629
march,627
violence,626
sometimes,625
end,625
former,624
given,623
september,622
make,622
gaza,621
committee,620
important,619
recent,616
increase,616
china,612
argue,611
whether,607
systems,607
hamas,605
become,605
began,603
around,602
evidence,600
them,598
video,596
age,595
religious,593
media,593
how,593
well,591
february,590
european,589
way,588
included,588
tax,586
south,586
until,585
union,583
congress,583
thus,582
rate,581
order,581
association,580
october,579
times,577
though,577
church,570
open,569
four,568
majority,566
men,563
increased,563
held,562
book,560
july,557
modern,554
total,552
areas,552
april,552
various,551
without,549
supreme,549
india,548
led,545
significant,544
sexual,544
level,544
certain,541
crime,538
issue,534
argues,534
voting,532
action,530
immigration,528
governments,524
council,524
north,523
wrote,520
provide,520
source,517
higher,517
un,516
main,516
local,516
organizations,515
estimated,514
process,513
take,512
rates,512
society,511
view,510
trade,509
smoking,507
family,506
november,503
proposed,502
growth,502
person,500
individuals,499
you,497
place,497
condoms,494
others,493
election,490
individual,489
natural,488
current,488
advertising,487
effect,485
day,483
critics,483
small,482
set,482
organization,479
fact,479
uk,476
largest,476
canada,476
movement,475
few,475
august,475
long,473
service,472
obama,472
medical,472
last,471
established,471
drug,471
argument,470
every,469
official,467
convention,467
means,466
described,463
results,461
water,458
statement,457
own,457
cultural,456
came,453
decision,452
released,451
gun,451
effects,450
late,449
five,448
terms,447
history,447
democratic,446
universities,445
seen,444
believe,443
prime,442
passed,442
god,441
life,440
just,439
period,438
created,438
problem,436
despite,436
therefore,434
concept,433
response,431
ii,431
debate,431
vote,430
required,430
test,428
civil,427
